OrderID,CustomerID,Product,Category,Brand,Quantity,PricePaid,OrderDate,PaymentMethod
ORD00032,CUST0049,Basmati Rice/Basmati Akki - Brown (Quick Cooking),"Foodgrains, Oil & Masala",Daawat ,1,154.0,2025-02-07,UPI
ORD00033,CUST0006,Cinnamon Honey,Snacks & Branded Foods,Future Organics,2,700.0,2024-12-14,Debit Card
ORD00034,CUST0006,Naturale Coconut Nourishing Soap Bar,Beauty & Hygiene,Pears,3,492.0,2024-12-17,Net Banking
ORD00035,CUST0035,Moong Dal/Hesaru Bele Whole,"Foodgrains, Oil & Masala",Organic Tattva,1,228.0,2024-12-30,UPI
ORD00036,CUST0049,"Brass Angle Deep - Plain, No.2",Cleaning & Household,Trm,2,238.0,2024-12-02,Net Banking
ORD00037,CUST0065,"Coffee - Classic, 100% Pure",Gourmet & World Food,Nescafe Gold,2,1498.5,2025-01-13,Net Banking
ORD00038,CUST0059,Cup Noodles - Mazedaar Masala 70g + Veggi Manchow 70g + Spiced Chicken 70g,Snacks & Branded Foods,Nissin Food,3,360.0,2025-03-11,Net Banking
ORD00039,CUST0065,Frozen Vegetables - Green Peas,Snacks & Branded Foods,Farmland,3,540.0,2025-01-29,UPI
ORD00040,CUST0073,Ayurvedic Anti Acne & Skin Whitening Treatment - Tea Tree Skin Repair Serum & Tea Tree Face Wash,Beauty & Hygiene,Natural Vibes,3,3144.0,2024-12-11,Credit Card
ORD00041,CUST0021,Organic - Jowar Flour/Jolada Hittu,"Foodgrains, Oil & Masala",bb Royal,1,62.0,2025-01-04,Net Banking
ORD00042,CUST0074,Seasoning - Ginger Powder,"Foodgrains, Oil & Masala",Organic Nation,1,81.0,2025-02-08,Net Banking
ORD00043,CUST0066,"Global Edition, Barcelona Blast",Beauty & Hygiene,Set Wet,2,300.0,2024-12-25,Debit Card
ORD00044,CUST0073,Fruit N Nut Fantasy Ice Cream,"Bakery, Cakes & Dairy",Amul,4,120.0,2025-03-17,UPI
ORD00045,CUST0006,Opalware Ivory Serving Bowl Medium - Golden Fall,"Kitchen, Garden & Pets",Laopala Diva,1,325.0,2025-03-09,Credit Card
ORD00046,CUST0003,Spark Power Series Perfume Spray,Beauty & Hygiene,Kamasutra,4,546.0,2025-03-09,Net Banking
ORD00047,CUST0024,"Anti Slip Shower Mat -Fish, Blue, SK585-4","Kitchen, Garden & Pets",NNF,2,298.0,2025-03-05,UPI
ORD00048,CUST0075,Biscuit - Nariyal,Snacks & Branded Foods,Patanjali,2,20.0,2025-01-28,UPI
ORD00049,CUST0089,"Sugar Sensation Foot File - Sky Blue, Colour May Vary",Beauty & Hygiene,Panache,5,796.0,2025-02-24,Credit Card
ORD00050,CUST0053,Oats - Atta,Snacks & Branded Foods,Bagrrys,4,396.0,2025-01-19,Debit Card
ORD00051,CUST0009,Pro 6 Advance Razor Value Kit For Men,Beauty & Hygiene,LetsShave,3,2989.65,2024-12-21,UPI
ORD00052,CUST0040,Organic - Garam Masala,"Foodgrains, Oil & Masala",24 Mantra,5,375.0,2025-02-05,UPI
ORD00053,CUST0061,Natural Multi Purpose Cleaner,Cleaning & Household,Bubblenut Wash,3,2397.0,2025-01-31,Debit Card
ORD00054,CUST0038,"Hairstim XT Biotin 10,000mcg Tablets - With Added Nutrients",Baby Care,Bionova,2,1750.0,2025-01-16,UPI
ORD00055,CUST0033,FunFoods American Mustard,Snacks & Branded Foods,Dr. Oetker,2,138.0,2024-12-15,Credit Card
ORD00056,CUST0042,Almonds - Mediterranean Rosemary,"Foodgrains, Oil & Masala",Organic Origins,4,1320.0,2025-01-11,UPI
ORD00057,CUST0098,Chai/100% Melamine Smart Coffee Mug Set - Red,"Kitchen, Garden & Pets",Iveo ,2,1318.0,2025-03-12,Debit Card
ORD00058,CUST0035,"Disney Mickey - Baby Powder, Basil and Red Sandalwood",Beauty & Hygiene,BIOTIQUE,5,506.25,2024-12-16,Net Banking
ORD00059,CUST0033,"Plastic Snacker Round Container - Small, Grey","Kitchen, Garden & Pets",Flair,2,118.0,2024-12-02,UPI
ORD00060,CUST0072,100 % Pure Honey - Litchi,Gourmet & World Food,NUTRIWISH,5,4000.0,2025-03-11,Net Banking
ORD00061,CUST0085,Magic Seal Square Storage Plastic Container - Royal Blue,"Kitchen, Garden & Pets",Polyset,5,645.0,2024-12-20,Debit Card
ORD00062,CUST0043,"Clothes-Accessories Hanger - Plastic, Red - RedÂ  BB BB 588 3",Cleaning & Household,DP,1,149.0,2025-01-01,Credit Card
ORD00063,CUST0087,Contura Black Hard Anodised Pressure Cooker - CB50,"Kitchen, Garden & Pets",Hawkins,4,10545.0,2024-12-12,Cash on Delivery
ORD00064,CUST0094,Pomegranate Mandarin Pore Refining Tonique - Enlarged Pores,Beauty & Hygiene,Just Herbs,3,1471.5,2025-03-30,UPI
ORD00065,CUST0038,"7X Beard Oil - Hydra Sport, 7 Premium Oils Supports Beard Growth & Nourishment",Beauty & Hygiene,Man Arden,1,325.0,2025-01-15,Credit Card
ORD00066,CUST0070,"Three Fold Premium Umbrella - Three Fold, Auto Open & Close, Windproof, Plain Black Coloured","Kitchen, Garden & Pets",Parachase,5,4845.0,2025-03-12,UPI
ORD00067,CUST0049,Stevia Chocolate - Plain Classic,Gourmet & World Food,Zevic Premium,2,290.0,2025-02-01,Credit Card
ORD00068,CUST0052,Awadhi Raita Masala,"Foodgrains, Oil & Masala",Keya,3,210.0,2025-02-10,Debit Card
ORD00069,CUST0009,Breeze - Razor Blades,Beauty & Hygiene,Gillette Venus,4,1400.0,2025-03-04,Credit Card
ORD00070,CUST0084,Detox Green Tea,Beverages,FabBox,1,280.0,2025-02-27,Net Banking
ORD00071,CUST0032,100% Melamine Dinner Set Black,"Kitchen, Garden & Pets",Iveo ,3,1977.0,2025-03-03,Credit Card
ORD00072,CUST0080,Dates/Kharjura,"Foodgrains, Oil & Masala",Lion,3,480.0,2025-03-26,UPI
ORD00073,CUST0030,Paste - Ginger,"Foodgrains, Oil & Masala",Mother's Recipe,4,200.0,2025-03-01,Net Banking
ORD00074,CUST0006,Organic Sabja/Basil Seeds,"Foodgrains, Oil & Masala",bb Royal,5,495.0,2025-01-07,Cash on Delivery
ORD00075,CUST0039,"N95 Washable Face Mask - Blue, Medium",Beauty & Hygiene,Nirvana,4,1196.0,2024-12-25,Cash on Delivery
ORD00076,CUST0042,Eggless Choco Chips Cake,"Bakery, Cakes & Dairy",Bon & Bread,2,376.0,2025-02-08,Debit Card
ORD00077,CUST0074,"Play - Deospray For Men, No Alcohol Deodrant",Beauty & Hygiene,Cinthol,3,555.75,2025-03-04,Net Banking
ORD00078,CUST0014,Mix Fruit Chaat,"Foodgrains, Oil & Masala",FabBox,3,1008.0,2025-03-22,Cash on Delivery
ORD00079,CUST0033,"Frost Stainless Steel Bottle With Sipper Cap - White Matt Finish, PXP 1004 CQ","Kitchen, Garden & Pets",BB Home,5,1145.0,2024-12-21,UPI
ORD00080,CUST0005,Opalware Quarter Plate - Scarlet Blooms,"Kitchen, Garden & Pets",LaOpala,5,2045.0,2024-12-20,Net Banking
ORD00081,CUST0065,4mm Aluminium Kadai With Handle - Silver,"Kitchen, Garden & Pets",HAZEL,3,1197.0,2025-03-15,Debit Card
ORD00082,CUST0092,Namkeen - Khara Boondi,Snacks & Branded Foods,Sln  ,5,190.0,2025-01-16,Net Banking
ORD00083,CUST0097,Mug 178 Frosty Deluxe Mug - Blue,Cleaning & Household,Nayasa,1,51.0,2025-03-10,Cash on Delivery
ORD00084,CUST0032,"Plastic Twister Container - Small, Gray","Kitchen, Garden & Pets",Flair,4,676.0,2025-03-04,Credit Card
ORD00085,CUST0090,Vwash Plus Expert Intimate Hygiene 100 ml + Bella Cotton Pads 100 pcs,Beauty & Hygiene,bb Combo,1,327.0,2025-02-18,Debit Card
ORD00086,CUST0015,"Hard Anodised Saucepan With Stainless Steel Lid - L95, 16 Cm","Kitchen, Garden & Pets",Hawkins Futura,5,4987.5,2024-12-31,Debit Card
ORD00087,CUST0084,French Lavender Essential Oil,Beauty & Hygiene,The Beauty Co.,1,346.5,2025-02-23,Cash on Delivery
ORD00088,CUST0005,2 Way Window Cleaner - B130040,Cleaning & Household,Liao,4,1396.0,2024-12-25,Cash on Delivery
ORD00089,CUST0086,Organic Rice Idli Ready Mi,Snacks & Branded Foods,Organic Tattva,4,340.0,2025-03-09,Cash on Delivery
ORD00090,CUST0028,Low Carb Keto Protein Shake - Belgian Chocolate Flavour,Beauty & Hygiene,Supply6,2,5998.0,2025-02-17,Debit Card
ORD00091,CUST0073,Choco Stick - Strawberry,Gourmet & World Food,Gone mad,3,306.0,2025-01-22,Debit Card
ORD00092,CUST0044,"Power Pocket - Long Lasting Bathroom Fragrance, Berry Rush",Cleaning & Household,Aer,1,53.35,2024-12-13,Cash on Delivery
ORD00093,CUST0089,"Jantughna Vati - Anti Infection, 500mg",Beauty & Hygiene,Sri Sri Tattva,1,400.0,2024-12-06,Credit Card
ORD00094,CUST0067,Organic Sunflower Seed,"Foodgrains, Oil & Masala",MeraKisan,2,448.0,2025-03-22,UPI
ORD00095,CUST0014,"Haldi Powder - Supports Anti-inflammatory Response, As Antioxidant & Healthy Immunity",Beauty & Hygiene,Bixa Botanical,2,390.0,2024-12-14,Net Banking
ORD00096,CUST0037,Silicon Gloves - Assorted Colour,"Kitchen, Garden & Pets",BVC,2,2198.0,2024-12-13,UPI
ORD00097,CUST0030,Masala - Biryani Rice,"Foodgrains, Oil & Masala",Roopak,5,800.0,2025-02-21,Net Banking
ORD00098,CUST0041,Choco Pie - With Rich Cocoa,Snacks & Branded Foods,Lotte,4,580.0,2025-02-06,Cash on Delivery
ORD00099,CUST0021,Perfume Body Spray - Oranssi,Beauty & Hygiene,Paris,5,2375.0,2025-01-02,UPI
ORD00100,CUST0004,Sylvana Shot Glass Tumbler,"Kitchen, Garden & Pets",Pasabahce,3,1077.0,2024-12-29,Cash on Delivery
ORD00101,CUST0049,Pickle - Fish,"Eggs, Meat & Fish",Tasty Nibbles,1,225.0,2024-12-02,Credit Card
ORD00102,CUST0029,White Botanical Exceptional Toner,Beauty & Hygiene,YVES ROCHER,4,3000.0,2025-03-29,UPI
ORD00103,CUST0046,"LED Bulb - 12 Watt, Cool Daylight, B22 Base","Kitchen, Garden & Pets",AGARO,4,636.0,2025-03-13,UPI
ORD00104,CUST0039,Dog Spray - FreshCoat,"Kitchen, Garden & Pets",Himalaya Pet Care,3,1560.0,2025-02-10,Net Banking
ORD00105,CUST0052,Falooda Mix Mango,Snacks & Branded Foods,Weikfield,3,195.0,2025-03-12,UPI
ORD00106,CUST0076,Scrubber - Braided Back,Beauty & Hygiene,Bare Essentials,5,787.5,2025-01-04,Cash on Delivery
ORD00107,CUST0035,Not Out Condoms - Climax Delay & Dotted,Beauty & Hygiene,Skore,1,90.0,2025-03-04,UPI
ORD00108,CUST0010,Turmeric Cinnamon Green Tea,Gourmet & World Food,Chaayos,3,1047.0,2024-12-10,Credit Card
ORD00109,CUST0040,"Sandhimitra Vati - Arthralgia, 500 mg",Beauty & Hygiene,Sri Sri Tattva,5,750.0,2024-12-13,UPI
ORD00110,CUST0032,Charcoal Detox Over Night Repair Face Cream,Beauty & Hygiene,INATUR ,2,700.0,2025-02-07,Net Banking
ORD00111,CUST0057,"100% Melamine Octa Chatni Bowl Set - Red, Black, Yellow","Kitchen, Garden & Pets",Iveo ,2,298.0,2024-12-25,Cash on Delivery
ORD00112,CUST0051,Nutlicks,Snacks & Branded Foods,Micks,2,300.0,2025-02-11,Credit Card
ORD00113,CUST0030,"Body Bath Loofah/Sponge/Scrubber - Dual Sided, Hangable, BB1427, Cream",Beauty & Hygiene,Muyi,5,495.0,2025-03-06,Cash on Delivery
ORD00114,CUST0031,Hello Sun Sunblock & Anti-tTan Lotion - SPF30,Beauty & Hygiene,Joy,4,360.0,2025-03-06,UPI
ORD00115,CUST0071,"Glass Water Bottle With Round Base - Green, B1366","Kitchen, Garden & Pets",BB Home,5,1045.0,2025-01-15,Net Banking
ORD00116,CUST0097,Dark Side Perfume For Men,Beauty & Hygiene,Beardo,4,3600.0,2025-03-24,UPI
ORD00117,CUST0048,Ayurvedic Medicine Lal Tail,Baby Care,Dabur,2,180.0,2025-03-12,Credit Card
ORD00118,CUST0063,Packaged Drinking Water,Beverages,Aquafina,5,1200.0,2025-01-21,Cash on Delivery
ORD00119,CUST0066,Herbal Henna Colour - Black,Beauty & Hygiene,Khadi Natural,3,825.0,2025-02-23,Credit Card
ORD00120,CUST0077,"Plastic Container - Printed, Crystal, 14731P","Kitchen, Garden & Pets",Ratan,5,900.0,2025-02-15,Net Banking
ORD00121,CUST0052,Sparkling - Grape & Cranberry,Gourmet & World Food,Valentino,3,975.0,2025-03-26,Debit Card
ORD00122,CUST0030,Garlic - Organically Grown,Fruits & Vegetables,Fresho,5,280.0,2025-01-11,Debit Card
ORD00123,CUST0012,Mozzarella & Cheddar - Shredded Cheese,Gourmet & World Food,RRO DAIRY,4,1180.0,2025-03-08,Net Banking
ORD00124,CUST0047,Pizza Flavour Spice Mix,Gourmet & World Food,Entree,3,242.25,2025-02-16,Credit Card
ORD00125,CUST0092,Sushi Vinegar,Gourmet & World Food,Japanese Choice,5,1225.0,2025-02-08,Credit Card
ORD00126,CUST0078,Fig Almond Conserve,Gourmet & World Food,The Gourmet Jar,4,1200.0,2025-03-09,Cash on Delivery
ORD00127,CUST0031,"Purifying Cleanser - Lavender & Neem, For Kapha",Beauty & Hygiene,Shankara,3,4306.5,2025-01-16,Net Banking
ORD00128,CUST0008,"Reusable Menstrual Cup With Medical Grade Silicone - Medium, FDA Approved",Beauty & Hygiene,Sirona,4,1197.0,2025-01-20,UPI
ORD00129,CUST0076,Prickly Heat Powder - Soothing Lavender,Beauty & Hygiene,Dermi Cool,1,117.0,2025-01-06,Cash on Delivery
ORD00130,CUST0100,Glass Fame Coffee Cup & Saucer Set - Black,"Kitchen, Garden & Pets",Iveo ,1,995.0,2025-02-05,Credit Card
ORD00131,CUST0073,Nachoz - Sizzling Peri Peri,Snacks & Branded Foods,ACT II,3,189.0,2024-12-01,Debit Card
ORD00132,CUST0029,"Spin Mop With Bucket, PSB 10 42604",Cleaning & Household,Prestige,2,3998.0,2024-12-28,Debit Card
ORD00133,CUST0015,Smart Baby Diaper Pants - Medium,Baby Care,Bebe,1,1049.0,2025-03-09,Debit Card
ORD00134,CUST0073,Onion - Organically Grown,Fruits & Vegetables,Fresho,5,175.0,2025-02-04,Cash on Delivery
ORD00135,CUST0063,Chyawanprash - Immunity Booster,Beauty & Hygiene,Jiva Ayurveda,5,925.0,2025-03-29,Cash on Delivery
ORD00136,CUST0055,Namkeen - Khara Boondi,Snacks & Branded Foods,Sln  ,2,76.0,2024-12-13,UPI
ORD00137,CUST0068,Moringa - Mint Herbal Infusion,Gourmet & World Food,Teamonk,4,1120.0,2025-01-15,Credit Card
ORD00138,CUST0090,Dog Treats - Biscuit Twined With Chicken,"Kitchen, Garden & Pets",Chip Chops,2,390.0,2025-01-03,Debit Card
ORD00139,CUST0098,Ayurvedic Scalp & Hair Oil,Beauty & Hygiene,Kesh King,5,1650.0,2025-01-01,Credit Card
ORD00140,CUST0061,Olive Oil,Gourmet & World Food,RYCA,3,783.0,2025-03-14,Debit Card
ORD00141,CUST0077,"Green Printed Pencil Pouch - PU, BB1287GRN",Cleaning & Household,DP,1,104.0,2025-02-12,Net Banking
ORD00142,CUST0042,Kohinoor Charminar Brown Rice 1 kg + Zingy Schezwan Multi-Use Seasoning 12 g,"Foodgrains, Oil & Masala",Kohinoor,5,525.0,2025-03-28,Credit Card
ORD00143,CUST0061,Veg Soya Chaap,Gourmet & World Food,Urban Platter,1,308.75,2025-03-03,Debit Card
ORD00144,CUST0091,Mori-Naga-Silken-Tofu-Firm,Gourmet & World Food,Tofu,4,1200.0,2024-12-23,Net Banking
ORD00145,CUST0065,"Space Saver Modular Kitchen Storage Plastic Container - Transparent, With Blue Lid","Kitchen, Garden & Pets",Mahaware,5,645.0,2025-03-15,UPI
ORD00146,CUST0039,Skin Illuminate Vitamin C Serum For Radiant Skin with High Potency Vitamin C & Turmeric,Beauty & Hygiene,Mamaearth,5,2995.0,2025-02-21,Debit Card
ORD00147,CUST0020,Herbal Green Tea Kadha - Helps Fight Flu & Infection,Gourmet & World Food,Sancha,1,350.0,2025-03-04,Cash on Delivery
ORD00148,CUST0065,"Rusk - Suji Elaichi Light, Crisp & Delicious Toast","Bakery, Cakes & Dairy",Bhikhaaram Chandmal,4,396.0,2024-12-11,UPI
ORD00149,CUST0039,Til/Ellu - Nylon,"Foodgrains, Oil & Masala",bb Royal,3,216.0,2025-01-14,Net Banking
ORD00150,CUST0052,Fair+Glow Sun Screen Lotion SPF 20,Beauty & Hygiene,Vlcc,4,715.0,2025-03-30,UPI
ORD00151,CUST0051,"LED Lamp/T-Bulb - 14 Watt, Cool Daylight White, B22 Base","Kitchen, Garden & Pets",Philips,2,598.0,2025-03-06,Cash on Delivery
ORD00152,CUST0059,Bugspray - Herbal Bed Bug Repellent Spray,Cleaning & Household,Herbal Strategi,1,250.0,2025-02-20,Net Banking
ORD00153,CUST0078,Frozen - Mixed Vegetables,Snacks & Branded Foods,Safal,1,93.5,2025-01-09,Cash on Delivery
ORD00154,CUST0062,"Swiss Milk Chocolate - With Honey & Almond Nougat, Yellow",Gourmet & World Food,Toblerone,1,225.0,2025-01-10,Cash on Delivery
ORD00155,CUST0043,Clear Complexion Brightening Body Lotion,Beauty & Hygiene,Himalaya,5,1085.0,2024-12-20,Debit Card
ORD00156,CUST0028,Hygienic Hand Sanitiser Liquid,Beauty & Hygiene,Savlon,5,500.0,2025-02-28,Credit Card
ORD00157,CUST0065,Millet Muesli - Diet,Snacks & Branded Foods,Soulfull,2,898.0,2024-12-07,Net Banking
ORD00158,CUST0055,Sauteed Onion & Garlic Pasta Sauce,Gourmet & World Food,Ragu,4,1800.0,2025-03-07,Cash on Delivery
ORD00159,CUST0033,Giloy With Amla Juice,Gourmet & World Food,Nutriorg,5,1102.5,2025-02-03,UPI
ORD00160,CUST0079,Golden Glow Cream,Beauty & Hygiene,Aroma Treasures,2,891.0,2025-01-25,Debit Card
ORD00161,CUST0056,Sweet & Sour Gherkins,Gourmet & World Food,Hugo Reitzel ,4,522.0,2024-12-19,Credit Card
ORD00162,CUST0016,Whiteglow Active Skin Whitening + Oil Control Facewash,Beauty & Hygiene,Lotus Herbals,3,336.0,2024-12-11,Net Banking
ORD00163,CUST0016,Almonds - Salted,Gourmet & World Food,Tong Garden,5,2868.75,2025-03-06,UPI
ORD00164,CUST0016,"Envelope - Cloth Lined, Green, 11 x 5 inches",Cleaning & Household,Ravi,5,345.0,2025-01-21,Debit Card
ORD00165,CUST0094,Tooth Brush - Kid 3-6 Years,Beauty & Hygiene,Trisa ,1,229.0,2025-01-21,Cash on Delivery
ORD00166,CUST0061,"Click Gel - Car Vent Air Freshener Kit, Bright Tangy Delight",Cleaning & Household,Aer,4,1100.32,2025-03-10,Credit Card
ORD00167,CUST0007,Natural Mosquito Repellent Cream With Aloe Vera & Neem Extracts,Cleaning & Household,Bodyguard,2,126.0,2025-01-31,Cash on Delivery
ORD00168,CUST0092,Ground Coffee - Club,Gourmet & World Food,Lavazza,2,1500.0,2025-02-01,Net Banking
ORD00169,CUST0064,Prime Organic Apple Cider Vinegar - Raw Unfiltered with EXTRA Mother,Gourmet & World Food,ADIRA,5,2245.5,2024-12-26,Cash on Delivery
ORD00170,CUST0016,Skin Care Wipes,Baby Care,Johnson's baby,5,375.0,2025-03-05,
ORD00171,CUST0017,"Hand Wash - Naturals, Black Orchid & Milk",Beauty & Hygiene,Palmolive,2,178.2,2025-01-01,UPI
ORD00172,CUST0085,Toilet Cleaner - Kills 99% Germs,Cleaning & Household,Mr Muscle,3,225.0,2025-03-10,Net Banking
ORD00173,CUST0070,Barbeque Sauce Original,Gourmet & World Food,American Garden ,3,855.0,2025-02-26,Cash on Delivery
ORD00174,CUST0006,"Garnet LED Bulb -12 Watt, White, Cool Day, B22","Kitchen, Garden & Pets",Wipro,1,179.0,2024-12-15,Net Banking
ORD00175,CUST0075,"Body Bath+Scrub - Orange, Peach Essence",Beauty & Hygiene,Skin Cottage ,4,1796.0,2025-01-16,Debit Card
ORD00176,CUST0002,Shikakai Hair Care Powder - Pure Herb,Beauty & Hygiene,Banjara's,2,120.0,2025-01-11,Debit Card
ORD00177,CUST0084,Rainbow Assorted Flavour Chewy Candy,Snacks & Branded Foods,Mentos,5,250.0,2025-02-22,UPI
ORD00178,CUST0076,"Three Fold Premium Umbrella - Three Fold, Auto Open & Close, Windproof, Plain Black Coloured","Kitchen, Garden & Pets",Parachase,3,2907.0,2024-12-22,Debit Card
ORD00179,CUST0033,Olive Oil - Classic,Gourmet & World Food,BORGES,5,1344.95,2025-03-16,Net Banking
ORD00180,CUST0071,Handmade Peppermint & Aloe Vera Soap,Beauty & Hygiene,Fizzy Fern,5,1253.75,2024-12-19,Net Banking
ORD00181,CUST0064,Wonder Pants Xtra Large - 90 Diapers,Baby Care,Huggies,1,1463.09,2025-03-29,Credit Card
ORD00182,CUST0083,Stainless Steel - Utensil Scrubber,Cleaning & Household,Milton - Spotzero,2,50.0,2025-02-26,Debit Card
ORD00183,CUST0098,Keto Nachos,Gourmet & World Food,Ketofy,2,598.0,2025-03-07,UPI
ORD00184,CUST0082,Kitchen / Tile Brush - Multifuction,Cleaning & Household,Liao,1,99.0,2025-03-05,UPI
ORD00185,CUST0033,"Shampoo - For Dry Damaged Color Treated & Permed Hair, Bio Soya Protein",Beauty & Hygiene,BIOTIQUE,2,148.5,2025-02-18,Credit Card
ORD00186,CUST0024,Ponds Starlight Talc,Beauty & Hygiene,Ponds,3,360.0,2024-12-02,Debit Card
ORD00187,CUST0014,Puja Flower Wicks - Puvvu Vathulu Batti,Cleaning & Household,Jaji,1,20.0,2025-01-09,Net Banking
ORD00188,CUST0006,Pasta Sauce Cheesy Creamy Mix,Snacks & Branded Foods,Weikfield,4,120.0,2024-12-03,Debit Card
ORD00189,CUST0050,Stainless Steel Canister/Container - Hammered,"Kitchen, Garden & Pets",Neelam,2,798.0,2025-03-05,Cash on Delivery
ORD00190,CUST0092,Floor Mop,Cleaning & Household,Gala,2,372.0,2024-12-27,Cash on Delivery
ORD00191,CUST0044,Tea Tree Aloe Gel,Beauty & Hygiene,Aroma Treasures,5,1215.0,2025-03-07,Debit Card
ORD00192,CUST0019,Opalware Ivory Dinner Set - Cherry Petal,"Kitchen, Garden & Pets",Laopala Diva,5,9445.0,2025-01-31,Cash on Delivery
ORD00193,CUST0093,Dual Floor Cloth - Pochha,Cleaning & Household,Gala,2,118.0,2025-02-27,UPI
ORD00194,CUST0070,"Select - Chai Masala, Nutmeg","Foodgrains, Oil & Masala",Valley Spice,4,300.0,2025-02-13,Cash on Delivery
ORD00195,CUST0048,Snacks - Roasted Chia Seeds,Gourmet & World Food,GoodDiet,1,149.0,2025-01-02,Credit Card
ORD00196,CUST0076,Almonds + Cashews Whole (100% Natural 200G) + Green Raisins Seedless 250G,Gourmet & World Food,Happilo,1,549.75,2025-01-06,Credit Card
ORD00197,CUST0051,"Toothpaste - Gum Care, Expert Protection",Beauty & Hygiene,Pepsodent,5,392.0,2025-01-04,UPI
ORD00198,CUST0052,Juzt Jelly - Guava Flavour,Snacks & Branded Foods,ALPENLIEBE,4,200.0,2025-02-22,UPI
